Date;Microsoft;SP;IPC;industrial.production;USTB3M;USTB10Y; money.supply;consumer.credit;baa.aaa.spread
01/03/2012;32,26;1408,47;229,392;96,1393;0,08;2,03;2245,1;2650873,37;1,24
01/04/2012;32,02;1397,86;230,085;96,8572;0,08;2,22;2267,6;2663290,18;1,23
01/05/2012;29,19;1309,87;229,815;97,1042;0,09;1,98;2247,4;2683154,04;1,27
01/06/2012;30,59;1362,33;229,478;97,1322;0,07;1,47;2265,3;2690996,7;1,38
01/07/2012;29,47;1379,32;229,104;97,5571;0,1;1,61;2305,5;2695221,51;1,47
01/08/2012;30,82;1406,54;230,379;96,785;0,1;1,56;2326,7;2713796,76;1,43
01/09/2012;29,76;1440,9;231,407;96,9549;0,1;1,59;2350,4;2723677,82;1,35
01/10/2012;28,54;1412,2;231,317;96,8409;0,09;1,64;2408,2;2739862,05;1,11
01/11/2012;26,62;1416,34;230,221;98,1118;0,09;1,75;2408,6;2753775,86;1,01
01/12/2012;26,71;1426,19;229,601;98,1884;0,1;1,63;2503,6;2768112,82;0,98
01/01/2013;27,45;1498,11;230,28;98,0631;0,08;1,86;2476,1;2781355,26;0,93
01/02/2013;27,8;1514,68;232,166;98,9583;0,06;2,04;2449,5;2800526,91;0,95
01/03/2013;28,61;1569,18;232,773;99,2747;0,11;1,86;2489,6;2808896,18;0,92
01/04/2013;33,1;1597,55;232,531;98,7439;0,08;1,86;2536,6;2819954,6;0,86
