Ri_MOBIL;Ri_TEXACO ;Ri_IBM ;Ri_DATGEN ;Ri_TANDY;Ri_GERBER ;Ri_GENMIL ;RF_FREE ;RM_MARKET 
0.01;-0.046;-0.019;0.056;-0.037;0.105;0.055;0.00748;0.005
-0.092;-0.044;0.047;-0.061;0.029;-0.112;-0.018;0.00771;-0.058
0.261;0.14;0.127;0.312;0.079;0.018;0.061;0.00852;0.146
0.013;0.045;0.004;-0.132;-0.1;0.165;0.011;0.0083;0
0.014;-0.08;0.012;0.047;-0.096;-0.16;-0.01;0.00688;-0.035
-0.042;0.007;-0.023;0.019;0.027;0.094;-0.072;0.00602;-0.019
-0.052;0;0.011;0.096;0.005;-0.005;0.017;0.00612;-0.001
0.053;0.044;0.108;0.215;0.17;0.091;0.095;0.00606;0.097
0.071;0.022;-0.009;-0.21;0.119;0.006;0;0.00586;0.012
0;0.014;-0.052;-0.195;0.094;0.13;0.054;0.0065;0.008
0.027;0.111;-0.004;-0.157;-0.133;-0.037;-0.083;0.00601;-0.01
0.029;-0.065;0.025;-0.078;0.091;0.234;0.137;0.00512;0.019
-0.032;0.031;-0.038;0.06;0.087;-0.031;0.06;0.00536;-0.003
0.002;-0.03;0.062;0.043;-0.119;-0.036;-0.099;0.00562;0.012
-0.013;0.021;-0.028;-0.006;0.063;0.025;0.002;0.00545;0.005
0.004;-0.007;-0.022;0;-0.011;-0.048;0.081;0.00571;-0.055
0.1;0.099;0.048;0.032;0.098;0.097;0.013;0.00577;0.026
-0.008;-0.175;0.085;0.109;0.021;0.137;0.114;0.0054;0.059
-0.04;-0.077;0.113;0.023;0.098;0.063;0.027;0.00479;0.013
-0.021;-0.038;-0.026;-0.055;-0.04;-0.088;0.019;0.00548;-0.009
-0.003;0.071;0.003;-0.044;0.096;0.034;0.121;0.00523;0.049
-0.026;-0.004;0.004;-0.043;-0.047;0.174;0.072;0.00508;0.048
0.042;0.05;0.031;0.061;-0.058;0.113;-0.051;0.00444;-0.009
0.082;0.069;-0.018;-0.015;0.094;-0.04;0.109;0.00469;0.049
0.012;-0.042;-0.039;-0.155;-0.092;-0.038;0.071;0.00478;0.004
-0.022;-0.036;-0.096;-0.072;-0.078;-0.105;0.049;0.00458;-0.076
0.173;0.135;0.055;0.167;0.018;0.111;0.003;0.00343;0.049
0.053;0.026;-0.031;-0.24;-0.108;0.037;-0.088;0.00416;-0.047
0.02;0.043;-0.081;0.105;0.242;-0.069;0.123;0.00418;0.018
0.044;-0.028;0.037;0.02;0.094;-0.02;0.011;0.0042;0
0.019;0.047;-0.056;-0.078;-0.023;-0.06;-0.034;0.00382;-0.005
0.093;0.049;0.073;0.135;0.13;0.057;0.123;0.00454;0.148
-0.022;-0.08;0.092;0.045;0.174;0.019;0.049;0.00437;0.065
0.124;0.103;0.076;-0.096;-0.118;0.04;0.01;0.00423;0.037
-0.007;-0.094;0.067;-0.02;-0.119;-0.063;-0.104;0.00207;-0.025
-0.003;0.114;0.006;0.161;-0.026;0.138;0.19;0.00438;0.004
0.091;0.073;0.016;-0.145;0.045;0.005;0.03;0.00402;0.038
0.032;0.142;-0.009;0.057;0.087;0.232;0.036;0.00455;0.055
0.03;-0.076;0.053;-0.008;0.027;-0.113;0.022;0.0046;0.015
-0.082;-0.053;-0.105;0.015;0.088;-0.061;-0.009;0.0052;-0.015
-0.178;-0.194;-0.187;-0.342;-0.246;-0.288;-0.148;0.00358;-0.26
-0.15;-0.031;-0.087;-0.075;-0.19;-0.085;-0.102;0.00288;-0.07
0.159;0.178;0.043;0.181;0.04;0.07;0.128;0.00277;0.073
